Image,Vietnamese,Target word,Transcription,Example
"<img src=""paste-12786117640195.jpg"" />","các bên tham gia; bữa tiệc; đội, nhóm.",party,/ˈpɑːti/,<div><div>a. The parties agreed to a settlement in their contract dispute.</div><div>b. The party that prepares the contract has a distinct advantage.</div></div>
"<img src=""576_Dieu_khoan_chung_M1_1380643440871.jpg"" />","điều khoản; đồ dự phòng, sự dự phòng",provision,/prəˈvɪʒn̩/,<div><div>a. The father made provisions for his children through his will.</div><div>b. The contract contains a provision to deal with how payments are made if John loses&nbsp;his job.</div></div>
"<img src=""quyettam.jpg"" />","quyết tâm, giải quyết",resolve,/rɪˈzɒlv/,<div><div>a. The mediator was able to resolve the problem to everyone's satisfaction.</div><div>b. The businessman resolved to clean out all the files by the end of the week.</div></div>
"<img src=""Specify Hardware_1380643440871.jpg"" />","chỉ rõ, ghi rõ, định rõ, ghi chú vào phần chi tiết kỹ thuật",specific,/spi'sifik/,"<div><div>a. The customer's specific complaint was not addressed in his e-mail.</div><div>b. In a contract, one specific word can change the meaning dramatically.</div></div>"
"<img src=""paste-25988847108097.jpg"" />","sự hứa hẹn, hứa hôn;",engagement,&nbsp;/in'geidʒmənt/,<div><div><div>a. The engagement begins at 7:30.</div><div>b. The entire office was invited to her engagement party.</div></div></div>
"<img src=""Opposites_attract_by_stella_marina_1380643440871.jpg"" />","thu hút, hấp dẫn, lôi cuốn",attract,/əˈtrækt/,<div><div>a. The display attracted a number of people at the convention.</div><div>b. The new advertising attracts the wrong kind of customer into the store.</div></div>
"<img src=""compare.jpg"" />","so sánh, đối chiếu",compare,/kəmˈpeə/,"<div><div>a. Once the customer compared the two products, her choice was easy.</div><div>b. The price for this brand is high compared to the other brands on the market.</div></div><div><br /></div><div><div><b>Compare&nbsp;</b></div><div>•<span class=""Apple-tab-span"" style=""white-space:pre""> </span>(+ with) so, đối chiếu</div><div>&nbsp; &nbsp;-<span class=""Apple-tab-span"" style=""white-space:pre""> </span>to compare the orginal with the copy&nbsp;</div><div>&nbsp; &nbsp;--&gt; so nguyên bản với bản sao</div><div><br /></div><div>•<span class=""Apple-tab-span"" style=""white-space:pre""> </span>(+ to) so sánh</div><div>&nbsp; &nbsp;-<span class=""Apple-tab-span"" style=""white-space:pre""> </span>poets often compare sleep to death</div><div>&nbsp; &nbsp;--&gt; các nhà thơ thường so sánh giấc ngủ với cái chết</div></div>"
"<img src=""COMPETITION 2.jpg"" />",sự cạnh tranh; cuộc thi,competition,UK ​ /kɒmpəˈtɪʃən/ &nbsp; &nbsp;US ​ /kɑːmpəˈtɪʃən/&nbsp;,"<div><div>a. In the competition for afternoon diners, Hector's has come out on top.</div><div>b. The company has decided not to join the growing competition for dominance in the&nbsp;semiconductor market.</div></div>"
"<img src=""images748083_minh_khai_5.jpg"" />","dùng, tiêu thụ; tiêu tốn",consume,/kənˈsjuːm/,<div><div>a. The business plans consumed all of Fritz's attention this fall.</div><div>b. The printer consumes more toner than the downstairs printer.</div></div>
"<img src=""paste-115994181763075.jpg"" />","người tiêu dùng, người tiêu thụ&nbsp;",consumer,/kənˈsjuːmə/,a. The new telephone rates will affect all consumers.<div>b. American consumers are becoming informed about the safety of products made for children.</div>
"<img src=""productivity.jpg"" />","hiệu quả; sản xuất nhiều; màu mỡ, sinh sôi",productive,/prəˈdʌktɪv/,<div><div>a. The unproductive sales meeting brought many staff complaints.</div><div>b. Alonzo is excited about his productive staff.</div></div>
"<img src=""paste-11458972745731.jpg"" />","làm cho tin, làm cho nghe theo, thuyết phục",convince,/kənˈvɪns/,"<div><div>a. The salesman convinced his customer to buy his entire inventory of pens.</div><div>b. Before a business can convince customers that it provides a quality product, it must&nbsp;convince its marketing staff.</div></div>"
"<img src=""ripfromabove.jpg"" />","hiện thời, hiện nay",currently,/'kʌrəntli/,"<div>a.We are currently exploring plans to update the MX3 model.</div><div>b.Currently, customers are demanding big discounts for bulk orders.</div>"
"<img src=""505926493_c23ef3202f_1380643440871.jpg"" />","mốt, xu hướng thời trang",fad,/fæd/,"<div><div>a. The mini dress was a fad once thought to be finished, but now it is making a&nbsp;comeback.</div><div>b. Classic tastes may seem boring but they have proven to resist fads.</div></div>"
"<img src=""Tony-Robbins (1)_1380643440871.jpg"" />","(sự/người/vật) truyền cảm hứng, gây cảm hứng;",inspiration,/ˌɪnspəˈreɪʃən/,<div><div>a. His work is an inspiration to the marketing department.</div><div>b. Marta's high sales in Spain were an inspiration to other European reps.</div></div>
"<img src=""marketing_1380643440871.jpg"" />",giá thị trường; tình hình thị trường,market,/ˈmɑːkɪt/,"<div><div>a. When Omar first began making his chutneys, he marketed them door-to-door to&nbsp;gourmet shops.</div><div>b. The market for brightly colored clothing was brisk last year, but it's moving&nbsp;sluggishly this year.</div></div>"
"<img src=""pushing-to-work.jpg"" />",làm cho tin; thuyết phục; tín ngưỡng,persuasion,/pə'sweiʤn/,"<div>a.The seminar teaches techniques of persuasion to increase sales.</div><div>b.Under his persuasion, she returned to school for her MBA.</div>"
"<img src=""ton-trong-khach-hang_1380643440871.jpg"" />","sự hài lòng, sự làm cho thỏa mãn;&nbsp;",satisfaction,"/,sætis'fækʃn/",<div>a.Your satisfaction is guaranteed or you’ll get your money back.</div><div>b.She looked at the finished painting with satisfaction.</div><div>c.We will print the advertisement to your satisfaction.</div>
"<img src=""24378-verifinger_standard_sdk_trial.gif"" />","riêng, riêng biệt, đặc thù, đặc trưng",characteristic,/ˌkærəktəˈrɪstɪk/,"<div><div>a. The cooking pot has features characteristic of the brand, such as ""heat-resistant""&nbsp;handles.&nbsp;</div><div>b. One characteristic of the store is that it is slow in mailing refund checks.</div></div>"
"<img src=""paste-8409545965571.jpg"" />",hậu quả / hệ quả;&nbsp;tầm quan trọng;,consequence,/ˈkɒnsɪkwəns/,"<div>a. The consequence of not following the service instructions for your car is that the&nbsp;warranty is invalidated.</div><div>b. As a consequence of not having seen a dentist for several years, Lydia had several&nbsp;cavities.</div>"
"<img src=""Depositphotos_2187676_L%2B.jpg"" />","cân nhắc, xem xét, suy xét, suy nghĩ; cho rằng, coi như",consider,/kənˈsɪdə/,"<div><div>a. The customer considered buying the VCR until he learned that the warranty&nbsp;coverage was very limited.</div><div>b. After considering all the options, Della decided to buy a used car.</div></div>"
"<img src=""finger-cuddles-facebook-cover-photo.jpg"" />","che, phủ, bao phủ; bồi thường bảo hiểm; bao gồm, đủ",cover,/ˈkʌvə/,<div>a. Will my medical insurance cover this surgery?</div><div>b. Her car insurance provided for complete coverage against collision.</div><div><br /></div>
"<img src=""domain-name-expire.jpg"" />","sự mãn hạn, sự hết hạn, sự kết thúc;",expiration,/ɪkˈspaɪə/,<div>a. Have you checked the expriration date on this yogurt?</div><div>b. We can expect that the expiration of our Japan contract will impact sales next year.</div>
"<img src=""Curaprox-4260-2.jpg"" />","thường xuyên, hay xảy ra, có luôn",frequently,/ˈfriːkwəntli/,<div>a. Appliances frequently come with a one-year warranty.</div><div>b. Warranties for this kind of appliance are frequently limited in their coverage.</div>
"<img src=""Picture14_1380643440871.png"" />",ý nói; ngụ ý; bao hàm ý,imply,/ɪmˈplaɪ/,"<div><div>a. The guarantee on the Walkman implied that all damages were covered under&nbsp;warranty for one year.</div><div>b. The travel agent implied that our hotel was not in the safest part of the city, but,&nbsp;when pressed for details, he said the location was fine.</div></div>"
"<img src=""promise_day_02_1380643440871.png"" />","lời hứa, điều hứa, điều hẹn ước; sự hứa hẹn",promise,/ˈprɒmɪs/,<div>a. A warranty is a promise the manufacturer makes to the consumer.</div><div>b. The sales associate promised that our new mattress would arrive by noon on Saturday.</div>
"<img src=""3694192-hands-of-young-woman-protect-a-green-sprout.jpg"" />","bảo vệ, sự bảo vệ, che chở",protect,/prəˈtekt/,<div>a. Consumer laws are designed to protect the public against unscrupulous vendors.</div><div>b. You can protect yourself from scams by getting detailed information on the seller.</div>
"<img src=""shutterstock_68988925_1380643440871.jpg"" />","tiếng tốt, thanh danh, danh tiếng",reputation,/ˌrepjʊˈteɪʃn̩/,"<div>a. Even though the salesperson showed me a product I had never heard of, I bought it&nbsp;because of the good reputation of the manufacturer.</div><div>b. The company knew that the reputation of its products was the most important asset&nbsp;it had.</div>"
"<img src=""Screen-Shot-2012-06-04-at-7.41.38-PM1.jpeg"" />","đòi hỏi, yêu cầu",require,/rɪˈkwaɪə/,<div>a. A car warranty may require the owner to have it serviced by a certified mechanic.</div><div>b. The law requires that each item clearly display the warranty information.</div>
"<img src=""paste-66301410148355.jpg"" />","đa dạng, nhiều thứ/loại/vẻ khác nhau;",variety,/və'raiəti/,<div><div>a. There's a variety of standard terms that you'll find in warranties.</div><div>b. A variety of unexpected problems appeared after the product had been on the&nbsp;market for about six months.</div></div>
"<img src=""gia-tri-bao-hiem-xe-o-to-duoc-xac-dinh-nhu-the-nao-1.jpg"" />","trị giá bảo hiểm, phạm vi bảo hiểm; phạm vi (báo cáo, tin tức...)",coverage,<div>/ˈkʌv(ə)rɪdʒ/</div>,"<div>a. I’ve got $50,000 worth of coverage for the contents of my house.</div>b. Her car insurance provided for complete coverage against collision."
"<img src=""1497104207sua-chua-tivi-sam-sung-tai-nha.jpg"" />","giấy bảo hành, sự bảo hành",warranty,/'wɔrənti/,"a.The warranty covers the car mechanically for a year, with unlimited mileage.<div>b.The laptop can be repaired for free if it's still under warranty.</div>"
"<img src=""Envelope_-_Boonville_Address-000_1380643440871.jpg"" />","(n) địa chỉ, diễn văn, bài nói chuyện; (v) trình bày;",address,/əˈdres/,<div>a.The article praised her address to the steering committee.</div><div>b.Marco’s business plan addresses the needs of small business owners.</div>
"<img src=""1-How_to_Avoid_Disputes.jpg"" />","tránh, tránh xa",avoid,/əˈvɔɪd/,"<div><div>a. To avoid going out of business, owners should prepare a proper business plan.</div><div>b. Lloyd's errors in accounting could have been avoided by a business consultation&nbsp;with his banker.</div></div>"
"<img src=""lecturer.gif"" />","chứng minh, giải thích, bày tỏ, biểu lộ, làm thấy rõ",demonstrate,/ˈdemənstreɪt/,<div>a. Alban's business plan demonstrated that he had put a lot of thought into making his&nbsp;dream a reality.</div><div>b. The professor demonstrated through a case study that a business plan can impress a&nbsp;lender.</div>
"<img src=""TreeHiRes_1380643440871.jpg"" />","phát triển, mở mang, mở rộng, khuếch trương, làm cho phát đạt",develop,/dɪˈveləp/,<div>a. Lily developed her ideas into a business plan by taking a class at the community&nbsp;college.</div><div>b. The restaurant Wanda opened ten years ago has developed into a national chain.</div>
"<img src=""paste-6940667150339.jpg"" />","ước lượng , định giá",evaluate,/ɪˈvæljʊeɪt/,<div>a.It’s important to evaluate your competition when making a business plan.</div><div>b.The lenders evaluated our creditability and decided to loan us money.</div>
"<img src=""gather_1380643440871.jpg"" />","tập hợp lại, tụ họp lại, kéo đến;&nbsp;<div>hiểu, tin 1 thứ như kết quả của 1 thứ đã được nói/làm trước đó;</div>",gather,/ˈɡæðə/,<div>a.We gathered information for our plan from many sources.</div><div>b.I gather that interest rates for small businesses will soon change.</div>
"<img src=""WinningOffer.jpg"" />","đưa ra đề nghị, mời, cung cấp",offer,/ˈɒfə/,<div><div>a. Devon accepted our offer to write the business plan.</div><div>b. Jackie must offer her banker new statistics in order to encourage the bank to lend&nbsp;her money toward her start-up business.</div></div>
"<img src=""Primary-school-class-Oxfo-001.jpg"" />","trước hết, đầu tiên; chính, chủ yếu, quan trọng nhất;",primarily,/prai'merəli/,<div><div>a. We are primarily concerned with convincing the board of directors to apply for the&nbsp;second loan.</div><div>b. The developers are thinking primarily of how to enter the South American market.</div></div>
"<img src=""Risk-Taking.jpg"" />","sự rủi ro, sự nguy hiểm",risk,/rɪsk/,a.Expanding into a new market is a big risk.<div>b.The primary risk for most start-up businesses is insufficient capital.</div>
"<img src=""strategy1.jpg"" />","&nbsp;chiến lược, sự vạch kế hoạch hành động;",strategy,/ˈstrætədʒi/,<div>a. Let’s develop a strategy for promoting our ice cream parlor.</div><div>b. A business plan is a strategy for running a business and avoiding problems.</div>
"<img src=""paste-15784004812801.jpg"" />","mạnh khỏe, bền vững",strong,/strɒŋ/,"<div>a. She must be very strong to carry such a weight on her back.</div><div>b. As a guitarist, he's strong on technique but lacks feeling in some pieces.</div>"
"<img src=""substitute.png"" />","sự đổi, sự thay thế;",substitution,"/,sʌsti'tjʊ:ʃn/","<div><div>a. Your substitution of fake names for real ones makes the document seem insincere.</div><div>b. There is no substitution for hard work and perseverance.</div></div><div><div><div><sub>insincere /,insin'siə/ &nbsp;/,insin'seə/:&nbsp;không thành thực</sub></div></div><div><sub>perseverance /,pə:si'viərəns/: tính kiên trì</sub></div></div>"
"<img src=""012_ISC_2012_Monday_IZ3A1945.JPG"" />",hội nghị,conference,"/ˈkɑn·fər·əns, -frəns/",<div>a. Should I book the conference room for the meeting?</div>b. They frequently hold conferences at that hotel.
"<img src=""A-Growth-Tableing-To-Accommodate-The-Whole-Family-1.jpg"" />","đáp ứng, cung cấp (không gian, nơi chốn)",accommodate,/əˈkɒmədeɪt/,"<div><div>a. The meeting room was large enough to accommodate the various needs of the&nbsp;groups using it.</div><div>b. Because the deadline for reserving rooms was past, the hotel manager could not&nbsp;accommodate our need for more rooms.</div></div>"
"<img src=""paste-9874129813505.jpg"" />","sự sắp xếp, sự sắp đặt, cái được sắp xếp, cái được sắp đặt",arrangement,/əˈreɪndʒmənt/,"<div><div>a. The travel arrangements were taken care of by Sara, Mr. Billing's capable assistant.</div><div>b. The arrangement of speakers was alphabetical to avoid any hurt feelings.</div></div>"
"<img src=""NSW Bus Proprietors Association_1380643440871.jpg"" />",hiệp hội,association,/əˌsəʊʃiˈeɪʃn̩/,"<div>a. Membership in a trade or professional association provides business contacts and mutual support.</div><div>b. Local telephone companies formed an association to serve common goals, meet their common needs, and improve efficiency.</div>"
"<img src=""Sarangani+officials+attend+municipal+reporting+of+accomplishments_1380643440871.jpg"" />","tham dự, có mặt; chú ý đến",attend,/əˈtend/,<div>a. We expect more than 100 members to attend the annual meeting.</div><div>b. The hotel manager attended to all our needs promptly.</div>
"<img src=""Contact us.jpg"" />",giữ liên lạc,get in touch,/ˈɡet ɪn tʌtʃ/,Please get in touch with her manager as soon as possible
"<img src=""paste-42829413875715.jpg"" />","tổ chức, tiến hành; đáp ứng; kiểm soát, sở hữu",hold,/həʊld/,"<div>a. This meeting room holds at least 80 people comfortably.</div><div>b. She holds an annual seminar that is very popular.</div><div>c. After many days of fighting, the rebels now hold the town.</div>"
"<img src=""194611405_1378002698.jpg"" />",vị trí,location,/ləʊˈkeɪʃn̩/,<div>a.The location of the meeting was changed from the Red Room to the Green Room.</div><div>b.Disney World was the perfect location for the annual meeting since many members could bring their families.</div>
"<img src=""Overcrowded-Campus_1380643440871.jpg"" />","kéo vào quá đông, dồn vào quá đông, chật ních",overcrowded,/ˌəʊvəˈkraʊdɪd/,"<div><div>a. As soon as the guests entered the dining room for dinner, Sue Lin could see that the&nbsp;room would become overcrowded.</div><div>b. To avoid being overcrowded, we limited the number of guests that members could&nbsp;bring.</div></div>"
"<img src=""tinchi1jpg-060937.jpg"" />",đăng ký,register,/ˈredʒɪstə/,"<div>a. I registered the car in my name.</div><div>b. According to the register, more than 250 people attended the afternoon seminar.</div><div>c. Hotels ask all guests to register and give a home address.</div>"
"<img src=""Selecting-a-Real-Estate-Agent-Red_1380643440871.png"" />","chọn, lựa chọn, tốt nhất (về chất lượng)",select,/səˈlekt/,<div>select fruit/school : best fruit/school (kiểu như hàng tuyển)</div><div>a. The winners were a select group.</div><div>b. You can select from among the offerings shown on this screen.</div><div>c. The conference participant selected the marketing seminar from the various offerings.</div>
"<img src=""Obama_Health_Care_Speech_to_Joint_Session_of_Congress.jpg"" />","phiên họp, kỳ họp; buổi học, học kỳ (ở trường đại học)",session,/ˈseʃn/,"<div>a.The morning sessions tend to fill up first, so sign up early.</div><div>b.The first summer session starts June 3rd.</div><div>c.Due to the popularity of this course, we will offer two sessions.</div>"
"<img src=""Huong-dan-tham-gia-dau-gia-709c0.jpg"" />","tham gia, tham dự",take part in,/teɪk pɑːt ɪn/,"<div>a.We could not get enough people to take part in the meeting, so we canceled it.</div><div>b.The format for the session is very informal, which makes it easier for people to take part in the discussion.</div>"
"<img src=""access.jpg"" />","truy cập, đường vào, tiếp cận",access,/ˈækses/,<div>a. You can’t gain access to the files unless you know the password.</div><div>b. Many of the families do not have access to health care.</div><div>c. People now can access information from the Internet as never before.</div>
"<img src=""BB595D05-848C-4D46-8D3A-CB220A2B2BD2_mw1024_n_s_1380643440871.jpg"" />","sắp xếp, phân bổ, giành riêng (ngân sách...),&nbsp;cấp cho, phân phối, phân phát, chia phần; chỉ định, định rõ vị &nbsp;trí;",allocate,/ˈæləkeɪt/,"a. They allocated 3% of the advertising budget to newspaper ads.<div>b. The government is allocating $10 million for health education.</div><div>c. You will be allocated 4,566 shares at the par value of 20p each.</div><div>d. Sales people should allocate time for work in each area of their business.</div>"
"<img src=""3441compatible.jpg"" />","tương tác, thích ứng, tương thích, phù hợp",compatible,/kəmˈpætəbl̩/,"<div>a.This operating system is not compatible with this model computer.</div><div>b.Users of software applications want new versions to be compatible with current versions.</div><div>c.Their blood types are not compatible, so we cannot use his blood.</div>"
"<img src=""delete-big.jpg"" />",xóa,delete,/dɪˈliːt/,<div>a. The technicians deleted all the data on the disk accidentally.</div><div>b. This button on the keyboard deletes the characters from the screen.</div>
"<img src=""Corrugated-Displays_1380643440871.jpg"" />","trưng bày, hiển thị; biểu lộ tình cảm",display,/dɪˈspleɪ/,<div>a.The light on the LCD display is too weak.</div><div>b.The accounting program displays a current balance when opened.</div><div>c.The museum displays the tools and clothes of native Indians.</div><div>d.My grandfather disapproved of displaying emotion in public.</div>
"<img src=""what-is-duplicate-content.jpg"" />","bản sao, gấp đôi, nhân bản",duplicate,/ˈdjuːplɪkeɪt/,<div>a.I lost the original form so they sent me a duplicate.</div>b.I think the new word processing program will duplicate the success of the one introduced last year.<div>c.Businesses should make sure important records and files are duplicated and stored in another location.</div>
"<img src=""1A825A9F-8F07-4B81-AA77-591EDEE1724B_mw1024_n_s.jpg"" />","chỉ ra, hiểu ra, mường tượng; tính toán tổng số;<div>tìm hiểu, đoán ra, tính toán ra, giải ra;</div>",figure out,/ˈfɪɡə aʊt/,"a.We figured out that it would take us at least ten minutes to download the file.<div>b.By examining all of the errors, the technicians figured out how to fix the problem.</div><div>c.It is difficult to access funding before the elements of an outline business plan have been figured out.</div>"
"<img src=""3-Digital-Marketing-Strategies-you-Should-Not-Ignore.jpg"" />","bỏ qua, lờ đi",ignore,/ɪɡˈnɔː/,"a.The phone rang, but she ignored it.<div>b.Don’t ignore the technician’s advice when connecting cables.<br /><div><div>c.When the director is working at the computer, she ignores everything around her.</div></div></div>"
"<img src=""google-search.jpg"" />","tìm kiếm, tìm hiểu",search,/sɜːtʃ/,"<div><div>a. Dogs were brought in to search the area for survivors.</div><div>b. Teens are often searching for their identity.</div></div><div>d. After a long search, they finally found the lost child.</div>"
"<img src=""shut-the-door_1380643440871.gif"" />","đóng lại, ngừng lại",shut down,/ʃʌt daʊn/,<div>a.Please shut down the computer before you leave.</div><div>b.We always shut down the air conditioning system on the weekend.</div>
"<img src=""Steren_Warning.png"" />","<div>(sự/lời) cảnh báo, báo trước (có nguy hiểm hoặc gặp vấn đề&nbsp;rắc rối);</div>",warning,/'wɔ:niŋ/,<div>a. The red flashing light gives a warning to users that the battery is low.</div><div>b. Flashing images on a web page are warnings to attract users’ attention.</div>
"<img src=""paste-24438363914243.jpg"" />","hỏng, thiếu, yếu, trượt, thất bại, bất thành",failure,/'feiljə/,<div>a. Your failure to inform us about the changed password cost the company a day's&nbsp;work.</div><div>b. The repeated failure of her printer baffled the technician.</div>
"<img src=""Depositphotos_6747302_s.jpg"" />","hợp lý, có thể chi trả được",affordable,/əˈfɔːdəbl̩/,<div>a. Affordable housing isn’t enough – we also need job opportunities.</div><div>b. The company’s first priority was to find an affordable phone system.</div>
"<img src=""anticoagulat.jpg"" />",cần thiết,as needed,/əz ˈniːdɪd/,"<div>a.The courier service did not come every day, only as needed.</div><div>b.The service contract states that repairs will be made on an as-needed basis.</div><div><br /></div>"
"<img src=""bxp155984h.jpg"" />","có trách nhiệm, nghĩa vụ",be in charge of,/bi ɪn tʃɑːdʒ ɒv/,"<div>a.He appointed someone to be in charge of maintaining a supply of paper in the fax machine.</div><div>b.Your computer should not be in charge of you, rather you should be in charge of your computer.</div><div><br /></div>"
"<img src=""paste-8151847927811.jpg"" />","sức chứa, khả năng",capacity,/kəˈpæsɪti/,<div>a.The new conference room is much larger and has a capacity of one hundred people.</div><div>b.The memory requirements of this software application exceed the capacity of our computers.</div><div><br /></div>
"<img src=""2013-07-05-WindTurbing_1380643440871.jpg"" />",lâu bền,durable,/ˈdjʊərəbl̩/,"<div>a.This printer is so durable that, with a little care, it will last another five years.</div><div>b.These chairs are more durable than the first ones we looked at.</div><div><br /></div>"
"<img src=""1350618361.nv_1380643440871.gif"" />","<div>(adj): bắt đầu, khởi đầu, khởi xướng; (n): bước đầu, khởi đầu;&nbsp;sáng kiến</div>",initiative,/ɪˈnɪʃətɪv/,<div>a. Lisa showed initiative on the job and was soon promoted.</div><div><div>b. Our technology initiative involves an exciting new database system and will help us revolutionize our customer service.</div></div><div>Employees are encouraged to take the initiative and share their ideas with management.</div><div>The defense secretary announced a major initiative to upgrade our military preparedness.</div><div><br /></div>
"<img src=""moon-walk_1380643440871.jpg"" />","bắt đầu, khởi đầu, đề xướng",initiate,/ɪˈnɪʃɪeɪt/,a.Who initiated the violence?<div>b.The peace talks were initiated by a special envoy.</div><div><br /></div>
"<img src=""paste-48786533515267.jpg"" />","<div>về thân thể/cơ thể/thể chất; theo quy luật tự nhiên, một&nbsp;cách vật lý;</div>",physically,/'fizikli:/,<div><div>a. The computer screen is making her physically sick.</div><div>b. Physically moving your screen from one place on the desk to another can help&nbsp;reduce same-position-strain syndrome.</div></div><div><br /></div>
"<img src=""warehouse.jpg"" />",nhà cung cấp,provider,/prəˈvaɪdə/,"<div><div>a. The department was extremely pleased with the service they received from the phone provider.</div><div>b. As your health service provider, we want to make sure you are happy and satisfied with the service you are receiving.</div></div><div><br /></div>"
"<img src=""Repeat.jpg"" />","tái diễn, tái hiện",recur,/rɪˈkɜː/,"<div>a.The managers did not want that particular error to recur.</div><div>b.The subject of decreasing sales recurs in each meeting, sometimes several times.</div><div><br /></div>"
"<img src=""CP_Cost reduction.jpg"" />","sự thu nhỏ, sự giảm bớt",reduction,/rɪˈdʌkʃn̩/,<div>a.The outlet store gave a 20 percent reduction in the price of the shelves and bookcases.</div><div>b.The reduction in office staff has made it necessary to automate more job functions.</div><div><br /></div>
"<img src=""staying-ahead-fish_1380643440871.jpg"" />","nắm được, biết được cái gì đang diễn ra",stay on top of,/steɪ ɒn tɒp ɒv/,"<div>a.In this industry, you must stay on top of current developments.</div><div>b.In order to stay on top of her employee’s progress, she arranged weekly breakfast meetings.</div><div><br /></div>"
"<img src=""Stock-Market-Drop_1380643440871.jpg"" />","dự trữ, cổ phần, cổ phiếu",stock,/stɒk/,<div>a.The employees stocked the shelves on a weekly basis.</div><div>b.The office’s stock of toner for the fax machine was quickly running out.</div><div><br /></div>
"<img src=""j04024461.jpg"" />","đánh giá cao, cảm kích; tăng giá trị",appreciate,/əˈpriːʃieɪt/,<div>a. I appreciated your help very much.</div><div>b. Our house appreciated by 20% in two years.</div><div>c. I appreciate that this is a difficult decision for you.</div>d. He did not fully appreciate the significance of signing the contract.<div><br /></div>
"<img src=""paste-8242042241027.jpg"" />","phơi bày, lộ ra, vạch trần, đặt vào (nguy hiểm); tiếp xúc với",expose,/bi ɪkˈspəʊzd tuː/,a.Mergers require that employees be exposed to different business practices.<div><div>b. The new hires' week in each department exposed them to the various functions in&nbsp;the company.</div></div><div><br /></div>
"<img src=""iStock_000011028610Small.jpg"" />","thuê, tuyển dụng; đưa đi, bắt đi (để trình diện, hỏi cung, phạt...);",bring in,/brɪŋ ɪn/,<div>a.The company brought in a new team of project planners.</div><div>b.The company president wanted to bring in an efficiency consultant.</div><div><br /></div>
"<img src=""casual-outfits-51.jpg"" />","không trịnh trọng, bình thường",casual,/ˈkæʒʊəl/,"<div>a. On Fridays, most employees dress casually.</div><div>b. Martin spoke casually, as if he were chatting with friends.</div><div>c. He was only a casual acquaintance – I didn’t know him well.</div><div><br /></div>"
"<img src=""code39checksum.gif"" /><img src=""Code_1380643440871.jpg"" /><div><br /></div>","bộ luật, quy luật,điều lệ, &nbsp;mã",code,/kəʊd/,"<div>a.The new employees observed the unwritten code of conduct in their first week on the job.</div><div>b.Even the most traditional companies are changing their dress code to something less formal.</div><div><br /></div><div><div><sub>to observe /əb'zə:v/:&nbsp;tuân theo, tôn trọng</sub></div></div><div><sub>to observe on: nhận xét&nbsp;</sub></div>"
"<img src=""paste-34703335751683.jpg"" />","lướt qua, thoáng qua",glimpse,/ɡlɪmps/,"<div>a.The secretary caught a glimpse of her new boss as she was leaving the office.</div><div>b.After one year with the company, he still felt as though he had only a glimpse of the overall operations.</div><div><br /></div>"
